Name,Genres
Just So Stories,['Classics']
The Last Temptation of Christ,"['Classics', 'Historical']"
Animal Farm / 1984,"['Classics', 'Science', 'Science']"
Number the Stars,"['Historical', 'Classics', 'Historical']"
A Moveable Feast,"['Classics', 'Autobiography', 'Biography']"
I Capture the Castle,"['Classics', 'Historical', 'Romance']"
The Good Soldier Švejk,"['Classics', 'War']"
"F. Scott Fitzgerald: The Great Gatsby: Essays, Articles, Reviews",['Classics']
"Alas, Babylon","['Science', 'Classics', 'Science', 'Science']"
Hawaii,"['Historical', 'Historical', 'Classics']"
The Sirens of Titan,"['Science', 'Classics', 'Fantasy', 'Science']"
Ethan Frome,"['Classics', 'Academic']"
Birdsong,"['Historical', 'War', 'Classics', 'Historical', 'Romance']"
Mother Night,"['Classics', 'Historical', 'War']"
The True Confessions of Charlotte Doyle,"['Historical', 'Historical', 'Adventure']"
"The Subtle Knife (His Dark Materials, #2)",['Fantasy']
100 Selected Poems,['Classics']
Corelli's Mandolin,"['Historical', 'Romance', 'Classics', 'War', 'Historical']"
"The Amber Spyglass  (His Dark Materials, #3)",['Fantasy']
Geek Love,"['Horror', 'Fantasy']"
Jitterbug Perfume,['Fantasy']
Harold and the Purple Crayon,[]
Contact,['Science']
"The Sparrow (The Sparrow, #1)","['Science', 'Fantasy']"
The Rise and Fall of the Third Reich: A History of Nazi Germany,"['War', 'War']"
A Town Like Alice,"['Historical', 'Classics', 'Romance', 'War', 'Historical', 'War']"
Winter's Tale,"['Fantasy', 'Historical', 'Romance']"
"Gödel, Escher, Bach: An Eternal Golden Braid","['Science', 'Science']"
A Raisin in the Sun,"['Classics', 'Drama', 'Academic']"
The Accidental Tourist,"['Romance', 'Classics']"
"The Winds of War (The Henry Family, #1)","['Historical', 'War', 'War', 'Historical']"
The Dispossessed (Hainish Cycle #6),"['Science', 'Fantasy', 'Science']"
Ella Enchanted (Ella Enchanted #1),"['Fantasy', 'Romance', 'Fantasy']"
The Collector,"['Horror', 'Classics']"
Finnegans Wake,['Classics']
"The Foundation Trilogy (Foundation, #1-3)","['Science', 'Classics', 'Science', 'Fantasy']"
Down and Out in Paris and London,"['Classics', 'Biography', 'Autobiography']"
The New York Trilogy,['Mystery']
The Motorcycle Diaries: Notes on a Latin American Journey,"['Biography', 'Autobiography', 'Biography', 'Adventure', 'Biography', 'Classics']"
Survival in Auschwitz,"['Autobiography', 'Classics', 'Biography']"
Starship Troopers,"['Science', 'Classics']"
Pet Sematary,['Horror']
The Power and the Glory,"['Classics', 'Historical']"
All the President's Men,[]
"The Talented Mr. Ripley (Ripley, #1)","['Mystery', 'Mystery', 'Classics']"
"Stones from the River (Burgdorf Cycle, #1)","['Historical', 'War']"
Stardust,"['Fantasy', 'Romance', 'Adventure']"
Death in Venice and Other Tales,['Classics']
The Great Divorce,"['Classics', 'Fantasy']"
Death on the Installment Plan,['Classics']
Buddenbrooks: The Decline of a Family,"['Classics', 'Historical', 'Historical']"
"Speaker for the Dead (Ender's Saga, #2)","['Science', 'Fantasy', 'Science']"
Tender Is the Night,['Classics']
The Illustrated Man,"['Science', 'Classics', 'Fantasy']"
"84, Charing Cross Road","['Autobiography', 'Classics']"
The Complete Stories,['Classics']
"The Borrowers (The Borrowers, #1)","['Fantasy', 'Classics']"
"Girl, Interrupted",['Autobiography']
Trainspotting,['Classics']
"The Silver Chair (Chronicles of Narnia, #4)","['Fantasy', 'Classics']"
The Book of Disquiet,['Classics']
Black Like Me,"['Autobiography', 'Classics', 'Biography']"
Till We Have Faces,"['Fantasy', 'Classics', 'Fantasy']"
"Memories, Dreams, Reflections","['Biography', 'Autobiography', 'Biography']"
A River Runs Through it and Other Stories,['Classics']
The Man in the High Castle,"['Science', 'Science', 'Science', 'Classics']"
The Heart of the Matter,['Classics']
Housekeeping,['Classics']
Twenty Love Poems and a Song of Despair,"['Classics', 'Romance']"
"One for the Money (Stephanie Plum, #1)","['Mystery', 'Romance']"
"The Crystal Cave (Arthurian Saga, #1)","['Fantasy', 'Historical', 'Historical']"
Memoirs of Hadrian,"['Historical', 'Classics', 'Historical']"
The Brothers K,"['Sports', 'Historical', 'Sports', 'Classics']"
High Fidelity,['Romance']
Darkness at Noon,"['Classics', 'Historical']"
"Rendezvous with Rama (Rama, #1)","['Science', 'Classics']"
"The Sea, The Sea",['Classics']
"Winesburg, Ohio",['Classics']
About a Boy,[]
Papillon,"['Biography', 'Classics', 'Adventure', 'Autobiography']"
The Source,"['Historical', 'Historical']"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,[]
The Agony and the Ecstasy,"['Historical', 'Classics']"
"The Long Goodbye (Philip Marlowe, #6)","['Mystery', 'Mystery', 'Mystery', 'Classics', 'Mystery']"
Lord of the Flies,"['Classics', 'Academic']"
"The Forsyte Saga (The Forsyte Chronicles, #1-3)","['Classics', 'Historical']"
The Cantos,['Classics']
"The Gormenghast Novels (Gormenghast, #1-3)","['Fantasy', 'Classics']"
A Walk in the Woods: Rediscovering America on the Appalachian Trail,"['Autobiography', 'Adventure']"
The Dharma Bums,['Classics']
"Dragonfly in Amber (Outlander, #2)","['Historical', 'Romance', 'Fantasy', 'Science', 'Historical']"
The Gift of the Magi,"['Classics', 'Romance']"
The Souls of Black Folk,['Classics']
The Feminine Mystique,['Classics']
The House on Mango Street,"['Classics', 'Academic']"
Long Day's Journey into Night,"['Drama', 'Classics']"
Black Boy,"['Classics', 'Autobiography', 'Biography']"
The Spy Who Came In from the Cold,"['Mystery', 'Classics']"
Hopscotch,['Classics']
"Ishmael: An Adventure of the Mind and Spirit (Ishmael, #1)",['Classics']
The Far Pavilions,"['Historical', 'Romance', 'Historical', 'Classics', 'Adventure']"
"The Human Stain (The American Trilogy, #3)",[]
The Complete Maus,['Biography']
West with the Night,"['Autobiography', 'Biography']"
"Redwall (Redwall, #1)",['Fantasy']
The Third Policeman,"['Fantasy', 'Classics']"
Cold Sassy Tree,"['Historical', 'Classics', 'Historical']"
Pedro Páramo,['Classics']
The Rebel,[]
No Exit and Three Other Plays,"['Drama', 'Classics']"
The Caine Mutiny,"['Historical', 'Classics', 'War']"
The Hotel New Hampshire,[]
Cloudy With a Chance of Meatballs,[]
The Bridge of San Luis Rey,"['Classics', 'Historical']"
Hard-Boiled Wonderland and the End of the World,"['Fantasy', 'Science']"
Tuck Everlasting,"['Fantasy', 'Classics']"
Man and His Symbols,"['Science', 'Fantasy']"
The Bridge on the Drina,"['Historical', 'Classics']"
"The Long Winter (Little House, #6)","['Historical', 'Classics']"
Homage to Catalonia,"['Classics', 'War', 'Autobiography']"
The Society of the Spectacle,[]
Autumn Sonata: Selected Poems,[]
Cold Comfort Farm,['Classics']
"The Last Unicorn (The Last Unicorn, #1)","['Fantasy', 'Classics']"
The Confusions of Young Törless,['Classics']
A Scanner Darkly,"['Science', 'Science']"
Even Cowgirls Get the Blues,[]
Four Quartets,['Classics']
Wide Sargasso Sea,"['Classics', 'Historical']"
"Rosemary's Baby (Rosemary's Baby, #1)","['Horror', 'Classics', 'Mystery']"
"Tinker, Tailor, Soldier, Spy","['Mystery', 'Classics']"
"Fifth Business (The Deptford Trilogy, #1)","['Classics', 'Historical']"
The Painted Bird,"['Historical', 'Classics', 'War', 'Horror', 'War']"
Collected Poems,['Classics']
The Demon-Haunted World: Science as a Candle in the Dark,['Science']
"North and South (North and South, #1)","['Historical', 'Historical', 'War', 'Classics', 'Romance']"
The Bell,['Classics']
Angels in America,['Drama']
"The Code of the Woosters (Jeeves, #7)",['Classics']
